episode,timestep,reward
3386,346752,0.0937
3391,347040,0.6188
3393,347328,0.0
3395,347616,0.0
3399,347904,0.55
3401,348192,0.0
3403,348480,0.4
3409,348768,0.551
3414,349056,0.6475
3417,349344,0.525
3420,349632,0.2583
3422,349920,0.0
3426,350208,0.6234
3430,350496,0.4125
3433,350784,0.2604
3438,351072,0.6088
3440,351360,0.3625
3442,351648,0.0
3445,351936,0.3
3448,352224,0.1854
3450,352512,0.0
3453,352800,0.5646
3459,353088,0.526
3462,353376,0.5958
3465,353664,0.3062
3470,353952,0.525
3473,354240,0.2979
3477,354528,0.5328
3481,354816,0.6266
3485,355104,0.4219
3488,355392,0.2958
3490,355680,0.0
3493,355968,0.5625
3495,356256,0.0
3499,356544,0.4344
3504,356832,0.5363
3507,357120,0.5521
3509,357408,0.0
3512,357696,0.2833
3514,357984,0.2469
3517,358272,0.2875
3519,358560,0.0
3523,358848,0.3578
3525,359136,0.3781
3530,359424,0.5312
3535,359712,0.5262
3539,360000,0.5531
3541,360288,0.0
3545,360576,0.4516
3547,360864,0.0
3549,361152,0.4625
3553,361440,0.45
3556,361728,0.2979
3560,362016,0.4578
3562,362304,0.0
3564,362592,0.0
3567,362880,0.3042
3569,363168,0.0
3573,363456,0.4266
3576,363744,0.6021
3578,364032,0.0
3582,364320,0.3406
3584,364608,0.3625
3587,364896,0.1958
3590,365184,0.2854
3596,365472,0.7271
3599,365760,0.425
3601,366048,0.0
3606,366336,0.6062
3610,366624,0.4078
3612,366912,0.0531
3614,367200,0.0
3618,367488,0.625
3622,367776,0.4156
3626,368064,0.6875
3629,368352,0.2917
3632,368640,0.2979
3636,368928,0.3922
3638,369216,0.3969
3642,369504,0.4313
3644,369792,0.0
3648,370080,0.4437
3650,370368,0.0
3653,370656,0.2146
3655,370944,0.3563
3657,371232,0.0
3659,371520,0.0
3662,371808,0.2979
3664,372096,0.0
3667,372384,0.1583
3669,372672,0.0
3672,372960,0.6021
3675,373248,0.2958
3680,373536,0.5025
3684,373824,0.6469
3689,374112,0.4912
3691,374400,0.0
3693,374688,0.0
3695,374976,0.4219
3698,375264,0.2583
3700,375552,0.1937
3702,375840,0.0
3705,376128,0.2917
3709,376416,0.3438
3714,376704,0.605
3716,376992,0.0
3720,377280,0.6109
3724,377568,0.5875
3729,377856,0.5437
3733,378144,0.5312
3738,378432,0.6462
3740,378720,0.0
3743,379008,0.3083
3745,379296,0.0
3749,379584,0.525
3753,379872,0.525
3757,380160,0.7359
3761,380448,0.3969
3766,380736,0.55
3770,381024,0.6484
3773,381312,0.3042
3775,381600,0.0
3778,381888,0.2292
3781,382176,0.2875
3783,382464,0.0625
3785,382752,0.3625
3789,383040,0.425
3794,383328,0.5062
3796,383616,0.0
3801,383904,0.67
3805,384192,0.4344
3808,384480,0.5792
3811,384768,0.275
3816,385056,0.5075
3819,385344,0.5375
3823,385632,0.4391
3825,385920,0.2
3827,386208,0.0
3830,386496,0.2958
3832,386784,0.0
3834,387072,0.0
3836,387360,0.0
3842,387648,0.6313
3845,387936,0.5187
3850,388224,0.555
3853,388512,0.2375
3858,388800,0.72
3862,389088,0.4141
3865,389376,0.5583
3867,389664,0.0
3872,389952,0.4875
3874,390240,0.4375
